Nathaniel Selnastraum ,Practicus,stuff_jej3 
Emett Bolsonaro,Heir,orderofthedarkoats 
Barn Mauser,Hump,sarkavonsy 
Moises Schmitt,Mortus,jacks4eva 
Janie Schmitt,Maid,gismo autismo 
Segomo Gargalen,Cerberus,xanderdox 
Linden,Bum,swagbag 
Priscilla Cyrdemac,Nun,alexch2
Vigil MacLeod,Unknown,murdo_of_astora 
Curtis Cox,Unknown,omegazip2 
Mize Morena,Unknown,jeffery jefferson 
Demetrius Gregory,Unknown,nopls 
Tobon,Bum,bluethulhu 
Lieutenant Mize Morena,Tribunal Lieutenant,jeffery jefferson 
Cpl. Curtis Cox,Tribunal Operative,omegazip2 
Cpl. Demetrius Gregory,Tribunal Operative,nopls 
Cpl. Vigil MacLeod,Tribunal Operative,murdo_of_astora 
Tony Stromboli,Treasurer,guy-mallory 
Mace Stromboli,Treasurer,goatman123 
Cleth Darre,Guest,red warrior42342432 
Gonny Kosk,Healer,sparkydiesalot 
Snorri Rotbaum,Aristocrat,tarixy 
Omar Waldron,Raider,mintmango 
Emma Dracz,Servant,cherrypone 
Kurz Kazansky,Aristocrat,derpiestbruh
Hamar,Bum,bluethulhu 
Wess Hess,Unknown,gubs48 
Huffie,Bum,spelunkergod 
Drak Aiecard,Adventurer,silverdethuggles 
Jing Katzman,Unknown,gubs48 
Momo,Bum,themaskedman2 
Hando Shemin,Mortus,lipplop 
Kagain,Bum,nanocop 
Mize Swaggart,Maid,pauls4eva 
Ted Bozz,Znamak,beanstrom 
Tefel Case,Znamak,meltingmen 
Bruce Basmanov,Fisher,conslyrunning 
Lucan Cyrdemac,Unknown,
Hobb Reynolds,Unknown,
Drognan Lyber,Unknown,
Khelben Nerazim,Unknown,
Mize Kroy,Unknown,
Bilal,Soulbreaker,feverish 
Eunuch Samir,Soulbreaker Eunuch,whitemalealphamonster 
Bashar Tahmid,Soulbreaker Bashar,derpiestbruh 
Abd,Soulbreaker,sparkydiesalot 
Ramzan,Soulbreaker,artur_lang 
Francisco Claude,Spyridon Manse's Squire,spookstheskeleton 
Ryker Reed,Adventurer,tidetheman 
Vener Rovato,Grunt,lol18 
Tiberius Buono,Grunt,farcry11 
Vint Robanir,Grunt,gefrakt 
Mostar Spicer,Rifleman,feverish 
Halacan Judge,Rifleman,red warrior42342432 
Grat Lederlingen,Grunt,gubs48 
Wik Riker,Mushroomcutter,shanewayne9 
Gaal Wagner,Serpent,karwelas 
Gonny Sholl,Bard,gubs48 
Tugur Gerth,Mushroomcutter,meltingmen 
Aleksey Lebedev,Metalsmith,dr peeter 
Magdalena Spoon,Practicus,orderofthedarkoats 
Talaka Glubes,Aristocrat,thood74 
Rayjuan Glubes,Grave Robber,jeffery jefferson 
Parlee Wright,Prophet,lipplop 
Koba Reed,Adventurer,tidetheman 
Mingol Bonepicker,Expedition Leader,farcry11 
Amy Zaun,Swashbuckler,artur_lang 
Caul BellTsatho,Squire,xanderdox 
Haedrig Eroll,Rogue,murdo_of_astora 
Spencer Kosk,Robber,sparkydiesalot
Jepson Arkados,Baron,calcid 
Gom Starovich,Priest,spin 
Edgar Kahn,Mercenary,karwelas 
Hector Sackett,Metalsmith,acorn broadcast 
Elena Albright,Maid,xperia15 
Lucan,Bum,jeffery jefferson 
Schantor Coldsmith,Sniffer,alexch2 
Krivda Starovich,Znamak,mrfoxik 
Lucan Lister,Treasurer,gubs48 
Scott Hightower,Mortus,enzoman 
Craig Graver,Weaponsmith,tokyosexwhale 
Morlis Streuss,Inquisitor,advisorman 
Skarn Von Biggles II,Jester,the flux orz 
Heather Legrasse,Baroness's Bodyguard,priszma 
Kodrix Arkados,Heir,furya 
Grigg,Bum,themaskedman2 
Tony Stromboli,Mortus,guy-mallory 
Gan Pilpil,Armorsmith,hi_im_white 
Aleid Von Biggles II,Mortus,getbrecked 
Neva Sackett,Hump,thegel 
Conrad Hightower,Hump,mr-noobbr 
Harch,Bum,pauls4eva 
Marin Arkados,Successor,lipplop 
Matilda Katski,Docker,bruhok 
Izael Albright,Meister,topbirb 
Jenk Downs,Mercenary,rockyroadranch 
Bertalan Dougal,Rookie Cerberus,red warrior42342432 
Oscar Magellan,Practicus,swagbag 
Tobon,Bum,orderofthedarkoats 
Korgan Woodward,Unknown,tonybito 
Valeria Graver,Mortus,derpiestbruh 
Ken,Bum,tablespoon 
Opie Woodward,Unknown,dr peeter 
Piper Arkados,Baroness,octagonal fridays 
Cordelia Dougal,Merchant,wer6 
Morgan Kahn,Mercenary,thevlaze 
Balm Hightower,Misero,conslyrunning 
Utt,Bum,feverish 
Rick Rhino,Unknown,bonelessjuice 
Robin Orin,Guest,unlimitedspessmans 
Saemon Bonepicker,Hunter,atomic galaxy 
Mingol Bonepicker,Swindler,farcry11 
Julie Bonepicker,Cook,goatman123 
Alissandra Joyhound,Amuser,lilsh4 
Bastian Voronin,Incarn,xanderdox 
Mor Roig,Pusher,goodguy1448 
Brody Belyaev,Burglar,lol18 
Grimm Swabey,Priest,ugahh
Blaine Boru,Acrobat,mithras trismegistus 
David Insomnia,Adventurer,bongosz 
Jecht Eldas,Adventurer,jetnissan 
Joshua Stone,Robber,pauls4eva 
Lareck Letruq,Peasant,the patriarch 
Volikov Fyodorovich,Serpent,atomic galaxy 
Styval Staben,Courier,villeri 
Lu Chang,Serpent,mikeyike 
Aliz Tennant,Factory Kid,spookypineapple 
Galtis Stone,Vampire Hunter,pauls4eva 
John Cavin,Migrant Child,mxykikker 
Tasso Sweetchuck,Unknown,gruesomeborg68915 
Patton Shadestep,Reporter,gefrakt 
Giles Ukya,Unknown,zagarnt 
Victor Narakh,Migrant Child,cyrix01 
Erica Strong,Migrant Child,dickwrath 
Wess Hess,Unknown,gubs48 
